"array_element_name","is_control","locus","description"
"245210_at","no","AT5G12350","Regulator of chromosome condensation (RCC1) family with FYVE zinc finger domain"
"245211_at","no","AT5G12370","exocyst complex component sec10"
"245213_at","no","AT1G44575","Chlorophyll A-B binding family protein"
"245215_at","no","AT1G67830","alpha-fucosidase 1"
"245216_at","no","AT4G16143","importin alpha isoform 2"
"245217_at","no","AT1G38340","transposable element gene"
"245218_s_at","no","AT1G59218;AT1G58848","[AT1G59218, Disease resistance protein (CC-NBS-LRR class) family];[AT1G58848, Disease resistance protein (CC-NBS-LRR class) family]"
"245219_at","no","AT1G58807;AT1G59124","[AT1G58807, Disease resistance protein (CC-NBS-LRR class) family];[AT1G59124, Disease resistance protein (CC-NBS-LRR class) family]"
"245220_at","no","AT1G58808;AT1G59171","[AT1G58808, Unknown gene];[AT1G59171, Inositol-pentakisphosphate 2-kinase family protein]"
"245221_s_at","no","AT1G58889;AT1G59265","[AT1G58889, transposable element gene];[AT1G59265, transposable element gene]"
"245222_at","no","AT3G29787","transposable element gene"
"245223_at","no","AT3G29791","unknown protein; Has 3 Blast hits to 3 proteins in 2 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 3; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink)."
"245224_at","no","AT3G29796","unknown protein; Has 28 Blast hits to 20 proteins in 8 species: Archae - 0; Bacteria - 0; Metazoa - 18; Fungi - 0; Plants - 1; Viruses - 0; Other Eukaryotes - 9 (source: NCBI BLink)."
"245225_at","no","AT3G29800","P-loop containing nucleoside triphosphate hydrolases superfamily protein"
"245226_at","no","AT3G29970","B12D protein"
"245227_s_at","no","AT1G08410","P-loop containing nucleoside triphosphate hydrolases superfamily protein"
"245228_at","no","AT3G29810","COBRA-like protein 2 precursor"
"245229_at","no","AT4G25620","hydroxyproline-rich glycoprotein family protein"
"245230_at","no","AT4G25610","C2H2-like zinc finger protein"
"245232_at","no","AT4G25590","actin depolymerizing factor 7"
"245233_at","no","AT4G25580","CAP160 protein"
"245234_at","no","AT4G25560","myb domain protein 18"
"245235_at","no","AT4G25550","Cleavage/polyadenylation specificity factor, 25kDa subunit"
"245236_at","no","AT4G25540","homolog of DNA mismatch repair protein MSH3"
"245237_at","no","AT4G25520","SEUSS-like 1"
"245238_at","no","AT4G25570","Cytochrome b561/ferric reductase transmembrane protein family"
"245239_at","no","AT4G25530","FLOWERING WAGENINGEN"
"245240_at","no","AT1G44510","transposable element gene"
"245241_at","no","AT1G44478","Cyclophilin"
"245242_at","no","AT1G44446","Pheophorbide a oxygenase family protein with Rieske [2Fe-2S] domain"
"245243_at","no","AT1G44414","unknown protein; Has 29 Blast hits to 29 proteins in 12 species: Archae - 0; Bacteria - 4; Metazoa - 0; Fungi - 0; Plants - 25; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink)."
"245244_at","no","AT1G44350","IAA-leucine resistant (ILR)-like gene 6"
"245245_at","no","AT1G44318","Aldolase superfamily protein"
"245246_at","no","AT1G44224","ECA1 gametogenesis related family protein"
"245247_at","no","AT4G17230","SCARECROW-like 13"
"245248_at","no","AT4G15415","Protein phosphatase 2A regulatory B subunit family protein"
"245249_at","no","AT4G16760","acyl-CoA oxidase 1"
"245250_at","no","AT4G17490","ethylene responsive element binding factor 6"
"245251_at","no","AT4G17615","calcineurin B-like protein 1"
"245252_at","no","AT4G17500","ethylene responsive element binding factor 1"
"245253_at","no","AT4G15440","hydroperoxide lyase 1"
"245254_at","no","AT4G14680","Pseudouridine synthase/archaeosine transglycosylase-like family protein"
"245255_at","no","AT4G14110","COP9 signalosome, subunit CSN8"
"245256_at","no","AT4G15090","FRS (FAR1 Related Sequences) transcription factor family"
"245257_at","no","AT4G14640","calmodulin 8"
"245258_at","no","AT4G15340","pentacyclic triterpene synthase 1"
"245259_at","no","AT4G14150","phragmoplast-associated kinesin-related protein 1"
"245260_at","no","AT4G16360","5'-AMP-activated protein kinase beta-2 subunit protein"
"245261_at","no","AT4G14385","FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: vacuole; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Histone H4 acetyltransferase, NuA4 complex, Eaf6 (InterPro:IPR015418); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink)."
"245262_at","no","AT4G16563","Eukaryotic aspartyl protease family protein"
"245263_at","no","AT4G17740","Peptidase S41 family protein"
"245264_at","no","AT4G17245","RING/U-box superfamily protein"
"245265_at","no","AT4G14400","ankyrin repeat family protein"
"245266_at","no","AT4G17070","peptidyl-prolyl cis-trans isomerases"
"245267_at","no","AT4G14060","Polyketide cyclase/dehydrase and lipid transport superfamily protein"
"245268_at","no","AT4G16570","protein arginine methyltransferase 7"
"245269_at","no","AT4G14500","Polyketide cyclase/dehydrase and lipid transport superfamily protein"
"245270_at","no","AT4G14960","Tubulin/FtsZ family protein"
"245271_at","no","AT4G16430","basic helix-loop-helix (bHLH) DNA-binding superfamily protein"
"245272_at","no","AT4G17250","unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G47580.1); Has 31 Blast hits to 31 proteins in 6 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 31; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink)."
"245273_at","no","AT4G14950","SNARE associated Golgi protein family"
"245274_at","no","AT4G14360","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein"
"245275_at","no","AT4G15210","beta-amylase 5"
"245276_at","no","AT4G16780","homeobox protein 2"
"245277_at","no","AT4G15550","indole-3-acetate beta-D-glucosyltransferase"
"245278_at","no","AT4G17730","syntaxin of plants  23"
"245279_at","no","AT4G17270","Mo25 family protein"
"245280_at","no","AT4G16845","VEFS-Box of polycomb protein"
"245281_at","no","AT4G15560","Deoxyxylulose-5-phosphate synthase"
"245282_at","no","AT4G14990","Topoisomerase II-associated protein PAT1"
"245283_at","no","AT4G13980","winged-helix DNA-binding transcription factor family protein"
"245284_at","no","AT4G14210","phytoene desaturase 3"
"245285_s_at","no","AT4G14030;AT4G14040","[AT4G14030, selenium-binding protein 1];[AT4G14040, selenium-binding protein 2]"
"245286_at","no","AT4G14880","O-acetylserine (thiol) lyase (OAS-TL) isoform A1"
"245287_at","no","AT4G14910","HISTIDINE BIOSYNTHESIS 5B"
"245288_at","no","AT4G16420","homolog of yeast ADA2 2B"
"245289_at","no","AT4G15470","Bax inhibitor-1 family protein"
"245290_at","no","AT4G16490","ARM repeat superfamily protein"
"245291_at","no","AT4G16155","dihydrolipoyl dehydrogenases"
"245292_at","no","AT4G15093","catalytic LigB subunit of aromatic ring-opening dioxygenase family"
"245293_at","no","AT4G16660","heat shock protein 70 (Hsp 70) family protein"
"245294_at","no","AT4G14340","casein kinase I"
"245295_at","no","AT4G16100","Protein of unknown function (DUF789)"
"245296_at","no","AT4G16370","oligopeptide transporter"
"245297_at","no","AT4G16510","YbaK/aminoacyl-tRNA synthetase-associated domain"
"245298_at","no","AT4G15010","Mitochondrial substrate carrier family protein"
"245299_at","no","AT4G17530","RAB GTPase homolog 1C"
"245300_at","no","AT4G16350","calcineurin B-like protein 6"
"245301_at","no","AT4G17190","farnesyl diphosphate synthase 2"
"245302_at","no","AT4G17695","Homeodomain-like superfamily protein"
"245303_at","no","AT4G17010","unknown protein; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink)."
"245304_at","no","AT4G15630","Uncharacterised protein family (UPF0497)"
"245305_at","no","AT4G17215","Pollen Ole e 1 allergen and extensin family protein"
"245306_at","no","AT4G14690","Chlorophyll A-B binding family protein"
"245307_at","no","AT4G16770","2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein"
"245308_at","no","AT4G17486","PPPDE putative thiol peptidase family protein"
"245309_at","no","AT4G15140","unknown protein; Has 26 Blast hits to 26 proteins in 10 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 26; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink)."
"245310_at","no","AT4G13950","ralf-like 31"
"245311_at","no","AT4G14320","Zinc-binding ribosomal protein family protein"
"245312_at","no","AT4G14600","Target SNARE coiled-coil domain protein"
"245313_at","no","AT4G15420","Ubiquitin fusion degradation UFD1 family protein"
"245314_at","no","AT4G16745","Exostosin family protein"
"245315_at","no","AT4G14800","20S proteasome beta subunit D2"
"245316_at","no","AT4G14000","Putative methyltransferase family protein"
"245317_at","no","AT4G15610","Uncharacterised protein family (UPF0497)"
"245318_at","no","AT4G16980","arabinogalactan-protein family"
"245319_at","no","AT4G16146","cAMP-regulated phosphoprotein 19-related protein"
"245320_at","no","AT4G16444","FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: CHD5-like protein (InterPro:IPR007514); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink)."
"245321_at","no","AT4G15545","unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G16520.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink)."
"245322_at","no","AT4G14815","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein"
"245323_at","no","AT4G16500","Cystatin/monellin superfamily protein"
"245324_at","no","AT4G17260","Lactate/malate dehydrogenase family protein"
"245325_at","no","AT4G14130","xyloglucan endotransglucosylase/hydrolase 15"
"245326_at","no","AT4G14100","transferases, transferring glycosyl groups"
"245327_at","no","AT4G16850","unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G31130.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink)."
"245328_at","no","AT4G14465","AT-hook motif nuclear-localized protein 20"
"245329_at","no","AT4G14365","XB3 ortholog 4 in Arabidopsis thaliana"
"245330_at","no","AT4G14930","Survival protein SurE-like phosphatase/nucleotidase"
"245331_at","no","AT4G14410","basic helix-loop-helix (bHLH) DNA-binding superfamily protein"
"245332_at","no","AT4G15940","Fumarylacetoacetate (FAA) hydrolase family"
"245333_at","no","AT4G14615","unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF2346 (InterPro:IPR018625); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G52825.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink)."
"245334_at","no","AT4G15800","ralf-like 33"
"245335_at","no","AT4G16160","Mitochondrial import inner membrane translocase subunit Tim17/Tim22/Tim23 family protein"
"245336_at","no","AT4G16515","Encodes a root meristem growth factor (RGF).  Belongs to a family of functionally redundant homologous peptides that are secreted, tyrosine-sulfated, and expressed mainly in the stem cell area and the innermost layer of central columella cells. RGFs are required for maintenance of the root stem cell niche and transit amplifying cell proliferation.  Members of this family include: At5g60810 (RGF1), At1g13620 (RGF2), At2g04025 (RGF3), At3g30350 (RGF4), At5g51451 (RGF5), At4g16515 (RGF6), At3g02240 (RGF7), At2g03830 (RGF8) and At5g64770 (RGF9)."
"245337_at","no","AT4G16566","histidine triad nucleotide-binding 4"
"245338_at","no","AT4G16442","Uncharacterised protein family (UPF0497)"
"245339_at","no","AT4G16120","COBRA-like protein-7 precursor"
"245340_at","no","AT4G14420","HR-like lesion-inducing protein-related"
"245341_at","no","AT4G16447","unknown protein; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink)."
"245342_at","no","AT4G16720","Ribosomal protein L23/L15e family protein"
"245343_at","no","AT4G15830","ARM repeat superfamily protein"
"245344_at","no","AT4G15475","F-box/RNI-like superfamily protein"
"245345_at","no","AT4G16640","Matrixin family protein"
"245346_at","no","AT4G17090","chloroplast beta-amylase"
"245347_at","no","AT4G14890","2Fe-2S ferredoxin-like superfamily protein"
"245348_at","no","AT4G17770","trehalose phosphatase/synthase 5"
"245349_at","no","AT4G16690","methyl esterase 16"
"245350_at","no","AT4G16830","Hyaluronan / mRNA binding family"
"245351_at","no","AT4G17640","casein kinase II  beta chain 2"
"245352_at","no","AT4G15490","UDP-Glycosyltransferase superfamily protein"
"245353_at","no","AT4G16000","unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G15990.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink)."
"245354_at","no","AT4G17600","Chlorophyll A-B binding family protein"
"245355_at","no","AT4G17390","Ribosomal protein L23/L15e family protein"
"245356_at","no","AT4G13940","S-adenosyl-L-homocysteine hydrolase"
"245357_at","no","AT4G17560","Ribosomal protein L19 family protein"
"245358_at","no","AT4G15900","pleiotropic regulatory locus 1"
"245359_at","no","AT4G14430","indole-3-butyric acid response 10"
"245360_at","no","AT4G16330","2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein"
"245361_at","no","AT4G17790","SNARE associated Golgi protein family"
"245362_at","no","AT4G17460","Homeobox-leucine zipper protein 4 (HB-4) / HD-ZIP protein"
"245363_at","no","AT4G15120","VQ motif-containing protein"
"245364_at","no","AT4G15790","unknown protein; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 13 growth stages; Has 411 Blast hits to 380 proteins in 121 species: Archae - 4; Bacteria - 107; Metazoa - 85; Fungi - 29; Plants - 59; Viruses - 0; Other Eukaryotes - 127 (source: NCBI BLink)."
"245365_at","no","AT4G17720","RNA-binding (RRM/RBD/RNP motifs) family protein"
"245366_at","no","AT4G14965","membrane-associated progesterone binding protein 4"
"245367_at","no","AT4G16265","RNA polymerases M/15 Kd subunit"
"245368_at","no","AT4G15510","Photosystem II reaction center PsbP family protein"
"245370_at","no","AT4G16840","unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G35658.3); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink)."
"245371_at","no","AT4G15750","Plant invertase/pectin methylesterase inhibitor superfamily protein"
"245372_at","no","AT4G15000","Ribosomal L27e protein family"
"245373_s_at","no","AT4G14716;AT4G14710","[AT4G14716, acireductone dioxygenase 1];[AT4G14710, RmlC-like cupins superfamily protein]"
"245374_at","no","AT4G17620","glycine-rich protein"
"245375_at","no","AT4G17660","Protein kinase superfamily protein"
"245376_at","no","AT4G17690","Peroxidase superfamily protein"
"245378_at","no","AT4G17710","homeodomain GLABROUS 4"
"245379_at","no","AT4G17750","heat shock factor 1"
"245380_at","no","AT4G17760","damaged DNA binding;exodeoxyribonuclease IIIs"
"245381_at","no","AT4G17785","myb domain protein 39"
"245382_at","no","AT4G17800","Predicted AT-hook DNA-binding family protein"
"245383_at","no","AT4G17810","C2H2 and C2HC zinc fingers superfamily protein"
"245384_at","no","AT4G16790","hydroxyproline-rich glycoprotein family protein"
